,Asn,Asp,Lys,Ser,Thr,Tyr
V1_1_t0,13299.8771656476,9662.86311261226,366.854419341648,3127.58005513456,1099.45143792043,1216.90604965467
V1_2_t0,10657.5205863505,16429.5096175415,631.530237223209,7340.43219683686,2183.86871656538,2700.10379124151
V1_3_t0,12305.4982082614,10168.0582899052,281.497658812309,2279.2203950512,952.764541631232,1835.49905152408
V1_4_t0,15840.5465678238,7728.03750300782,242.595062278818,2506.52210609957,762.083116495421,1216.68020139371
V2_1_t0,15039.0354332493,6755.7169431125,179.95766175234,1435.22766484932,381.327692598572,686.863996367929
V2_2_t0,16830.7699867492,5674.95749808009,193.317047918671,1378.69968260877,643.110964408834,545.851590566901
V2_3_t0,15903.9607116558,6752.30198652126,142.10165477847,1330.06213187087,547.860072844526,913.256637258254
V2_4_t0,17316.9167759715,5970.30761518045,149.920547407988,1337.65838290065,402.821226070177,608.91838539158
V5_1_t0,14403.1042705377,3526.16567638833,72.9477832564119,780.695059551717,308.148082941929,550.157223624608
V5_2_t0,15353.3971662885,3107.26691395445,121.198317431587,476.969706122282,330.008059123014,294.339863405458
V5_3_t0,15869.5594324306,5251.94841014992,165.698879066677,1427.28573971785,713.218935036674,1219.84803283167
V5_4_t0,15623.9184762778,4839.73411517716,140.729790840237,1411.66536673146,650.268688931795,870.253181818719
V6_1_t0,13495.8422537849,10090.0401845352,440.908624171652,5682.4863384479,1865.86948910735,4598.01363791857
V6_2_t0,14983.8096007966,11186.2358596545,393.708605718711,8337.99237353008,1918.51077040113,3680.45457498941
V6_3_t0,13868.4152736506,6282.05067850576,323.019916100064,1473.19257357313,599.866765727957,1190.38680954707
V6_4_t0,11941.3259789191,11412.0613405786,579.75707276568,7220.84918219046,2164.11705064253,3582.32170613883
